memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
1715,,,,,,M,1953-12-15T00:00:00,,,,,,,,,,false,,
2177,,,,,,M,1972-06-17T00:00:00,,,,,,,,,,false,,
2178,,,,,,M,1933-08-14T00:00:00,,,,,,,,,,false,,
2179,,,,,,M,1950-08-07T00:00:00,,,,,,,,,,false,,
2180,,,,,,M,1956-11-10T00:00:00,,,,,,,,,,false,,
2181,,,,,,M,1950-05-29T00:00:00,,,,,,,,,,false,,
2185,,,,,,M,1934-08-17T00:00:00,,,,,,,,,,false,,
2186,,,,,,M,,,,,,,,,,,false,,
2187,,,,,,M,1941-02-16T00:00:00,,,,,,,,,,false,,
2188,,,,,,M,1954-03-22T00:00:00,,,,,,,,,,false,,
2189,,,,,,M,1951-01-15T00:00:00,,,,,,,,,,false,,
2190,,,,,,M,1949-03-03T00:00:00,,,,,,,,,,false,,
2193,,,,,,M,1912-09-29T00:00:00,2004-03-13T00:00:00,,,,,,,,,false,,
2195,,,,,,M,1962-12-11T00:00:00,,,,,,,,,,false,,
2196,,,,,,M,1940-05-25T00:00:00,,,,,,,,,,false,,
2197,,,,,,M,1929-07-01T00:00:00,,,,,,,,,,false,,
2198,,,,,,M,,,,,,,,,,,false,,
2200,,,,,,M,1951-05-05T00:00:00,,,,,,,,,,false,,
2201,,,,,,M,,,,,,,,,,,false,,
2204,,,,,,M,1940-01-21T00:00:00,2003-06-13T00:00:00,,,,,,,,,false,,
2207,,,,,,M,1942-07-22T00:00:00,,,,,,,,,,false,,
2208,,,,,,M,1935-07-07T00:00:00,,,,,,,,,,false,,
2209,,,,,,M,1930-11-09T00:00:00,,,,,,,,,,false,,
2211,,,,,,M,1969-10-14T00:00:00,,,,,,,,,,false,,
2212,,,,,,M,,,,,,,,,,,false,,
2213,,,,,,M,1963-02-10T00:00:00,,,,,,,,,,false,,
2519,,,,,,M,1961-07-25T00:00:00,,,,,,,,,,false,,
2520,,,,,,M,1941-10-24T00:00:00,,,,,,,,,,false,,
2521,,,,,,M,1929-11-29T00:00:00,,,,,,,,,,false,,
2522,,,,,,M,1962-03-06T00:00:00,,,,,,,,,,false,,
2523,,,,,,M,1934-06-03T00:00:00,,,,,,,,,,false,,
2524,,,,,,M,1948-03-25T00:00:00,,,,,,,,,,false,,
2525,,,,,,M,1945-05-01T00:00:00,,,,,,,,,,false,,
2529,,,,,,M,1960-07-27T00:00:00,,,,,,,,,,false,,
2530,,,,,,M,,,,,,,,,,,false,,
2551,,,,,,M,1964-10-01T00:00:00,,,,,,,,,,false,,
2553,,,,,,M,1948-09-26T00:00:00,,,,,,,,,,false,,
2558,,,,,,M,1949-03-06T00:00:00,,,,,,,,,,false,,
2560,,,,,,M,1909-05-04T00:00:00,,,,,,,,,,false,,
2561,,,,,,M,1940-02-18T00:00:00,,,,,,,,,,false,,
